<strong>ID</strong><strong>	ORF</strong><strong>	RANGE_GB</strong><strong>	GeneSymbol</strong><strong>	GeneType</strong><strong>	RANGE_START</strong><strong>	RANGE_END</strong><strong>	RANGE_STRAND</strong>
2282	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S583	5'UTR	1683508	1683660	1
2283	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16120[gene]">BSU16120</a>	AL009126.3	topA		1683661	1685736	1
2284	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16130[gene]">BSU16130</a>	AL009126.3	trmFO		1685812	1687119	1
2285	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16140[gene]">BSU16140</a>	AL009126.3	codV		1687187	1688101	1
2286	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16150[gene]">BSU16150</a>	AL009126.3	clpQ		1688114	1688659	1
2287	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16160[gene]">BSU16160</a>	AL009126.3	clpY		1688676	1690079	1
2288	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16170[gene]">BSU16170</a>	AL009126.3	codY		1690119	1690898	1
2289	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S584	5'UTR	1691049	1691202	1
2290	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16180[gene]">BSU16180</a>	AL009126.3	flgB		1691278	1691667	1
2291	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16190[gene]">BSU16190</a>	AL009126.3	flgC		1691667	1692119	1
2292	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16200[gene]">BSU16200</a>	AL009126.3	fliE		1692130	1692450	1
2293	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16210[gene]">BSU16210</a>	AL009126.3	fliF		1692496	1694106	1
2294	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16220[gene]">BSU16220</a>	AL009126.3	fliG		1694119	1695135	1
2295	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S585	Intra	1695136	1695253	1
2296	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16230[gene]">BSU16230</a>	AL009126.3	fliH		1695254	1695880	1
2297	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16240[gene]">BSU16240</a>	AL009126.3	fliI		1695877	1697193	1
2298	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16250[gene]">BSU16250</a>	AL009126.3	fliJ		1697196	1697639	1
2299	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16260[gene]">BSU16260</a>	AL009126.3	ylxF		1697651	1698265	1
2300	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16270[gene]">BSU16270</a>	AL009126.3	fliK		1698278	1699741	1
2301	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16280[gene]">BSU16280</a>	AL009126.3	flgD		1699738	1700160	1
2302	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16290[gene]">BSU16290</a>	AL009126.3	flgE		1700182	1700976	1
2303	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16299[gene]">BSU16299</a>	AL009126.3	ylzI		1701016	1701231	1
2304	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16300[gene]">BSU16300</a>	AL009126.3	fliL		1701228	1701650	1
2305	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16310[gene]">BSU16310</a>	AL009126.3	fliM		1701684	1702682	1
2306	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16320[gene]">BSU16320</a>	AL009126.3	fliY		1702672	1703808	1
2307	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16330[gene]">BSU16330</a>	AL009126.3	cheY		1703834	1704196	1
2308	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16340[gene]">BSU16340</a>	AL009126.3	fliZ		1704211	1704870	1
2309	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16350[gene]">BSU16350</a>	AL009126.3	fliP		1704863	1705528	1
2310	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16360[gene]">BSU16360</a>	AL009126.3	fliQ		1705543	1705812	1
2311	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16370[gene]">BSU16370</a>	AL009126.3	fliR		1705820	1706599	1
2312	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16380[gene]">BSU16380</a>	AL009126.3	flhB		1706599	1707681	1
2313	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16390[gene]">BSU16390</a>	AL009126.3	flhA		1707714	1709747	1
2314	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16400[gene]">BSU16400</a>	AL009126.3	flhF		1709747	1710847	1
2315	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16410[gene]">BSU16410</a>	AL009126.3	ylxH		1710838	1711734	1
2316	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16420[gene]">BSU16420</a>	AL009126.3	cheB		1711736	1712809	1
2317	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16430[gene]">BSU16430</a>	AL009126.3	cheA		1712815	1714833	1
2318	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16440[gene]">BSU16440</a>	AL009126.3	cheW		1714855	1715325	1
2319	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16450[gene]">BSU16450</a>	AL009126.3	cheC		1715344	1715973	1
2320	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16460[gene]">BSU16460</a>	AL009126.3	cheD		1715970	1716470	1
2321	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16470[gene]">BSU16470</a>	AL009126.3	sigD		1716493	1717257	1
2322	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16480[gene]">BSU16480</a>	AL009126.3	ylxL		1717286	1717789	1
2323	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S586	5'UTR	1717808	1717932	1
2324	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16490[gene]">BSU16490</a>	AL009126.3	rpsB		1717933	1718673	1
2325	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S587	Inter	1718700	1718774	1
2326	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16500[gene]">BSU16500</a>	AL009126.3	tsf		1718775	1719656	1
2327	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S588	Intra	1719657	1719801	1
2328	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16510[gene]">BSU16510</a>	AL009126.3	pyrH		1719802	1720524	1
2329	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16520[gene]">BSU16520</a>	AL009126.3	frr		1720526	1721083	1
2330	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S589	5'UTR	1721108	1721213	1
2331	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16530[gene]">BSU16530</a>	AL009126.3	uppS		1721214	1721996	1
2332	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16540[gene]">BSU16540</a>	AL009126.3	cdsA		1722000	1722809	1
2333	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16550[gene]">BSU16550</a>	AL009126.3	dxr		1722871	1724022	1
2334	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16560[gene]">BSU16560</a>	AL009126.3	rseP		1724029	1725297	1
2335	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16570[gene]">BSU16570</a>	AL009126.3	proS		1725330	1727024	1
2336	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S590	Intra	1727025	1727132	1
2337	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16580[gene]">BSU16580</a>	AL009126.3	polC		1727133	1731446	1
2338	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S591	Inter	1731447	1731511	1
2339	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S592	5'UTR	1731513	1731580	1
2340	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S593	5'UTR	1731582	1731775	1
2341	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16590[gene]">BSU16590</a>	AL009126.3	ylxS		1731776	1732246	1
2342	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16600[gene]">BSU16600</a>	AL009126.3	nusA		1732281	1733396	1
2343	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16610[gene]">BSU16610</a>	AL009126.3	ylxR		1733410	1733685	1
2344	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16620[gene]">BSU16620</a>	AL009126.3	rplGA		1733687	1733989	1
2345	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16630[gene]">BSU16630</a>	AL009126.3	infB		1734009	1736159	1
2346	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16640[gene]">BSU16640</a>	AL009126.3	ylxP		1736156	1736434	1
2347	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16650[gene]">BSU16650</a>	AL009126.3	rbfA		1736451	1736804	1
2348	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16660[gene]">BSU16660</a>	AL009126.3	truB		1736886	1737815	1
2349	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16670[gene]">BSU16670</a>	AL009126.3	ribC		1737834	1738784	1
2350	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S594	5'UTR	1738824	1738940	1
2351	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16680[gene]">BSU16680</a>	AL009126.3	rpsO		1738941	1739210	1
2352	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S595	Inter	1739238	1739323	1
2353	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16690[gene]">BSU16690</a>	AL009126.3	pnpA		1739383	1741500	1
2354	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S596	Inter	1741529	1741617	1
2355	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16700[gene]">BSU16700</a>	AL009126.3	ylxY		1741618	1742577	1
2356	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16710[gene]">BSU16710</a>	AL009126.3	mlpA		1742617	1743846	1
2357	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16720[gene]">BSU16720</a>	AL009126.3	ymxH		1743924	1744181	1
2358	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S597	3'UTR	1744182	1744236	1
2359	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S598	5'UTR	1744297	1744366	1
2360	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16730[gene]">BSU16730</a>	AL009126.3	spoVFA		1744367	1745260	1
2361	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16740[gene]">BSU16740</a>	AL009126.3	spoVFB		1745263	1745865	1
2362	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S599	5'UTR	1745919	1745990	1
2363	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16750[gene]">BSU16750</a>	AL009126.3	asd		1745991	1747031	1
2364	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S600	Intra	1747032	1747122	1
2365	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16760[gene]">BSU16760</a>	AL009126.3	dapG		1747123	1748337	1
2366	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16770[gene]">BSU16770</a>	AL009126.3	dapA		1748368	1749240	1
2367	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S601	Indep-NT	1748711	1749895	-1
2368	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16780[gene]">BSU16780</a>	AL009126.3	rnjB		1749418	1751085	1
2369	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16790[gene]">BSU16790</a>	AL009126.3	tepA		1751201	1751938	1
2370	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16799[gene]">BSU16799</a>	AL009126.3	ylzJ		1751935	1752147	1
2371	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16800[gene]">BSU16800</a>	AL009126.3	spoIIIE		1752272	1754641	1
2372	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S602	Inter	1754642	1754742	1
2373	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16810[gene]">BSU16810</a>	AL009126.3	ymfC		1754785	1755510	1
2374	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16825[gene]">BSU16825</a>	AL009126.3	ymfD		1755649	1756857	1
2375	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16845[gene]">BSU16845</a>	AL009126.3	ymfF		1757037	1758317	1
2376	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16860[gene]">BSU16860</a>	AL009126.3	ymfH		1758314	1759600	1
2377	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S603	Intra	1759601	1759654	1
2378	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16870[gene]">BSU16870</a>	AL009126.3	ymfI		1759655	1760383	1
2379	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16880[gene]">BSU16880</a>	AL009126.3	ymfJ		1760464	1760721	1
2380	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16890[gene]">BSU16890</a>	AL009126.3	ymfK		1760851	1761303	1
2381	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16900[gene]">BSU16900</a>	AL009126.3	ymfK		1761302	1761640	1
2382	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16910[gene]">BSU16910</a>	AL009126.3	ymfM		1761707	1762573	1
2383	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16920[gene]">BSU16920</a>	AL009126.3	pgsA		1762623	1763204	1
2384	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16930[gene]">BSU16930</a>	AL009126.3	cinA		1763222	1764472	1
2385	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S604	Inter	1764473	1764599	1
2386	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16940[gene]">BSU16940</a>	AL009126.3	recA		1764645	1765691	1
2387	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S605	Inter	1765748	1765813	1
2388	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16950[gene]">BSU16950</a>	AL009126.3	pbpX		1765859	1767034	1
2389	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S606	Inter	1767035	1767134	1
2390	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S607	5'UTR	1767136	1767309	1
2391	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16960[gene]">BSU16960</a>	AL009126.3	ymdA		1767310	1768872	1
2392	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16970[gene]">BSU16970</a>	AL009126.3	ymdB		1768941	1769735	1
2393	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S608	5'UTR	1769795	1769934	1
2394	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16980[gene]">BSU16980</a>	AL009126.3	spoVS		1769935	1770195	1
2395	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S609	Inter	1770236	1770410	1
2396	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU16990[gene]">BSU16990</a>	AL009126.3	tdh		1770461	1771504	1
2397	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17000[gene]">BSU17000</a>	AL009126.3	kbl		1771517	1772695	1
2398	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17010[gene]">BSU17010</a>	AL009126.3	ymcB		1772843	1774372	1
2399	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17020[gene]">BSU17020</a>	AL009126.3	ymcA		1774374	1774805	1
2400	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S610	5'UTR	1774965	1775066	1
2401	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17030[gene]">BSU17030</a>	AL009126.3	cotE		1775067	1775612	1
2402	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17040[gene]">BSU17040</a>	AL009126.3	mutS		1775745	1778321	1
2403	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17050[gene]">BSU17050</a>	AL009126.3	mutL		1778337	1780220	1
2404	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S611	3'UTR	1780123	1780617	-1
2405	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S612	Indep	1780399	1780532	1
2406	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17060[gene]">BSU17060</a>	AL009126.3	ymzD		1780618	1781073	-1
2407	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S613	5'UTR	1781074	1781165	-1
2408	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17070[gene]">BSU17070</a>	AL009126.3	ymcC		1781228	1781785	-1
2409	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17080[gene]">BSU17080</a>	AL009126.3	pksA		1781906	1782523	1
2410	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S614	5'UTR	1782643	1782712	1
2411	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17090[gene]">BSU17090</a>	AL009126.3	pksB		1782713	1783390	1
2412	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S615	Inter	1783391	1783658	1
2413	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S616	5'UTR	1783660	1783762	1
2414	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17100[gene]">BSU17100</a>	AL009126.3	pksC		1783763	1784629	1
2415	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S617	Intra	1784630	1785132	1
2416	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17110[gene]">BSU17110</a>	AL009126.3	pksD		1785133	1786107	1
2417	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17120[gene]">BSU17120</a>	AL009126.3	pksE		1786104	1788407	1
2418	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17130[gene]">BSU17130</a>	AL009126.3	acpK		1788469	1788717	1
2419	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17140[gene]">BSU17140</a>	AL009126.3	pksF		1788695	1789942	1
2420	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17150[gene]">BSU17150</a>	AL009126.3	pksG		1789943	1791205	1
2421	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17160[gene]">BSU17160</a>	AL009126.3	pksH		1791193	1791972	1
2422	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17170[gene]">BSU17170</a>	AL009126.3	pksI		1792012	1792761	1
2423	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17180[gene]">BSU17180</a>	AL009126.3	pksJ		1792806	1807937	1
2424	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17190[gene]">BSU17190</a>	AL009126.3	pksL		1807921	1821537	1
2425	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17200[gene]">BSU17200</a>	AL009126.3	pksM		1821553	1834341	1
2426	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17210[gene]">BSU17210</a>	AL009126.3	pksN		1834409	1850875	1
2427	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17220[gene]">BSU17220</a>	AL009126.3	pksR		1850890	1858521	1
2428	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17230[gene]">BSU17230</a>	AL009126.3	pksS		1858566	1859783	-1
2429	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S618	Inter	1859884	1859964	-1
2430	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17240[gene]">BSU17240</a>	AL009126.3	ymzB		1860014	1860370	-1
2431	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17250[gene]">BSU17250</a>	AL009126.3	ymaE		1860449	1861273	-1
2432	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17260[gene]">BSU17260</a>	AL009126.3	aprX		1861384	1862712	-1
2433	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17267[gene]">BSU17267</a>	AL009126.3	ymzE		1862992	1863168	1
2434	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S619	Inter	1863194	1863382	1
2435	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17270[gene]">BSU17270</a>	AL009126.3	ymaC		1863448	1864155	1
2436	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17280[gene]">BSU17280</a>	AL009126.3	ymaD		1864225	1864677	1
2437	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17290[gene]">BSU17290</a>	AL009126.3	ebrB		1864691	1865044	-1
2438	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17300[gene]">BSU17300</a>	AL009126.3	ebrA		1865058	1865375	-1
2439	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17310[gene]">BSU17310</a>	AL009126.3	ymaG		1865512	1865787	-1
2440	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17320[gene]">BSU17320</a>	AL009126.3	ymaF		1865876	1866289	1
2441	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17330[gene]">BSU17330</a>	AL009126.3	miaA		1866389	1867333	1
2442	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17340[gene]">BSU17340</a>	AL009126.3	ymaH		1867373	1867594	1
2443	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17350[gene]">BSU17350</a>	AL009126.3	ymzC		1867790	1868062	1
2444	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17360[gene]">BSU17360</a>	AL009126.3	ymzA		1868144	1868374	1
2445	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S620	3'UTR	1868375	1868451	1
2446	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S621	Inter	1868453	1868560	1
2447	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17370[gene]">BSU17370</a>	AL009126.3	nrdI		1868617	1869009	1
2448	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17380[gene]">BSU17380</a>	AL009126.3	nrdE		1868969	1871071	1
2449	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17390[gene]">BSU17390</a>	AL009126.3	nrdF		1871089	1872078	1
2450	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S622	3'PT	1872092	1872751	-1
2451	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17400[gene]">BSU17400</a>	AL009126.3	ymaB		1872128	1872748	1
2452	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S623	Indep-NT	1872786	1873153	1
2453	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17410[gene]">BSU17410</a>	AL009126.3	cwlC		1872812	1873579	-1
2454	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S624	5'UTR	1874062	1874202	1
2455	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17420[gene]">BSU17420</a>	AL009126.3	spoVK		1874203	1875171	1
2456	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17430[gene]">BSU17430</a>	AL009126.3	ynbA		1875304	1876566	1
2457	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17440[gene]">BSU17440</a>	AL009126.3	ynbB		1876584	1877849	1
2458	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17450[gene]">BSU17450</a>	AL009126.3	glnR		1877959	1878366	1
2459	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17460[gene]">BSU17460</a>	AL009126.3	glnA		1878425	1879759	1
2460	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S625	Inter	1879781	1880041	1
2461	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17470[gene]">BSU17470</a>	AL009126.3	ynxB		1880087	1880377	1
2462	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S626	Intra	1880378	1880622	1
2463	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17480[gene]">BSU17480</a>	AL009126.3	ynzF		1880623	1880967	1
2464	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17490[gene]">BSU17490</a>	AL009126.3	ynzG		1881098	1881349	1
2465	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S627	5'UTR	1881406	1881535	1
2466	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17500[gene]">BSU17500</a>	AL009126.3	ynaB		1881536	1881970	1
2467	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17510[gene]">BSU17510</a>	AL009126.3	ynaC		1882040	1882831	1
2468	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17520[gene]">BSU17520</a>	AL009126.3	ynaD		1883166	1883678	1
2469	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S628	5'UTR	1884169	1884237	1
2470	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17530[gene]">BSU17530</a>	AL009126.3	ynaE		1884238	1884879	1
2471	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S629	Intra	1884880	1884967	1
2472	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17540[gene]">BSU17540</a>	AL009126.3	ynaF		1884968	1885321	1
2473	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17550[gene]">BSU17550</a>	AL009126.3	ynaG		1885365	1885640	1
2474	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17559[gene]">BSU17559</a>	AL009126.3	ynzI		1885753	1885917	1
2475	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S630	Intra	1885918	1886056	1
2476	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU17560[gene]">BSU17560</a>	AL009126.3	ynaI		1886057	1886527	1
